instance,topic
Q553904,Q28389
Q553904,Q33999
Q553904,Q2526255
Q553904,Q10800557
Q14605170,Q2259451
Q14605170,Q10800557
Q2431878,Q3387717
Q2431878,Q10798782
Q456360,Q28389
Q456360,Q33999
Q456360,Q2259451
Q456360,Q10800557
Q440348,Q33999
Q440348,Q10800557
Q51547,Q28389
Q51547,Q36180
Q51547,Q1930187
Q51547,Q2526255
Q51547,Q3282637
Q318287,Q28389
Q318287,Q33999
Q318287,Q1350157
Q318287,Q1930187
Q3092547,Q28389
Q3092547,Q33999
Q3092547,Q2526255
Q3092547,Q10798782
Q2857539,Q28389
Q2857539,Q222344
Q2857539,Q2526255
Q2857539,Q7042855
Q318287,Q2526255
Q318287,Q3282637
Q318287,Q8246794
Q2857539,Q28389
Q2857539,Q222344
Q2857539,Q2526255
Q2857539,Q7042855
Q53001,Q28389
Q53001,Q33999
Q53001,Q36180
Q53001,Q222344
Q53001,Q578109
Q53001,Q2059704
Q53001,Q2526255
Q53001,Q3282637
Q53001,Q4220892
Q53001,Q7042855
Q53001,Q28389
Q53001,Q33999
Q53001,Q36180
Q53001,Q222344
Q53001,Q578109
Q53001,Q2059704
Q53001,Q2526255
Q53001,Q3282637
Q53001,Q4220892
Q53001,Q7042855
