instance,topic
Q3286702,Q28389
Q3286702,Q33999
Q3286702,Q245068
Q3286702,Q947873
Q3286702,Q1930187
Q3286702,Q2526255
Q3286702,Q2722764
Q3286702,Q10798782
Q2822371,Q1110684
Q551733,Q33999
Q551733,Q3282637
Q551733,Q10800557
Q3437047,Q28389
Q3437047,Q2526255
Q3437047,Q7042855
Q124389,Q2526255
Q3385917,Q28389
Q468190,Q10798782
Q468190,Q10800557
Q6531360,Q10800557
Q3074109,Q33999
Q3074109,Q12406482
Q2822371,Q1110684
Q468190,Q28389
Q468190,Q33999
Q468190,Q245068
Q468190,Q2259451
Q468190,Q2526255
Q468190,Q3282637

