instance,topic
Q18532,Q29048322
Q18532,Q29048322
Q21400674,Q26540
Q21400674,Q149918
Q21400674,Q1412630
Q21400674,Q26540
Q21400674,Q149918
Q21400674,Q1412630
Q18475071,Q26540
Q18475071,Q149918
Q18475071,Q1412630
Q18475071,Q26540
Q18475071,Q149918
Q18475071,Q1412630
Q333025,Q4830453
Q333025,Q6881511
Q333025,Q4830453
Q333025,Q6881511
Q42262,Q245065
Q42262,Q484652
Q42262,Q17505024
Q42262,Q245065
Q42262,Q484652
Q42262,Q17505024
Q42262,Q245065
Q42262,Q484652
Q42262,Q17505024
Q42262,Q245065
Q42262,Q484652
Q42262,Q17505024
