instance,topic
Q154770,Q36180
Q154770,Q36834
Q154770,Q158852
Q154770,Q1028181
Q154770,Q14915627
Q154770,Q16031530
Q154770,Q21680663
Q78475,Q36834
Q78475,Q486748
Q78475,Q639669
Q78475,Q8178443
Q190933,Q158852
Q190933,Q639669
Q190933,Q21680663
Q7304,Q36834
Q7304,Q158852
Q7304,Q639669
Q7304,Q21680663
Q123405,Q36180
Q123405,Q333634
Q123405,Q1930187
Q59264427,Q207338
Q59264427,Q207338
Q313371,Q158852
Q313371,Q486748
Q313371,Q1415090
Q313371,Q21680663
Q697105,Q158852
Q697105,Q639669
Q695491,Q42998
Q695491,Q42998
Q156898,Q36180
Q156898,Q36834
Q156898,Q639669
Q156898,Q864380
Q156898,Q1028181
Q156898,Q4610556
Q156898,Q10732476
Q352,Q1028181
Q352,Q4991371
Q352,Q15958642
Q4205,Q20819922
Q4205,Q20819922
Q3430586,Q33999
Q3430586,Q3387717
Q3430586,Q10800557
Q38757,Q28389
Q38757,Q36180
Q38757,Q49757
Q38757,Q214917
Q38757,Q482980
Q38757,Q822146
Q38757,Q3387717
Q38757,Q4263842
Q38757,Q8178443
Q55004,Q36834
Q55004,Q158852
Q55004,Q639669
Q55004,Q1231865
Q55004,Q1415090
Q13894,Q36180
Q13894,Q36834
Q13894,Q158852
Q13894,Q639669
Q13894,Q8178443
Q1886083,Q24354
Q1886083,Q153562
Q1886083,Q24354
Q1886083,Q153562
Q155136,Q36834
Q155136,Q158852
Q312576,Q24354
Q312576,Q153562
Q312576,Q24354
Q312576,Q153562
Q209937,Q153562
Q209937,Q3053337
Q209937,Q153562
Q209937,Q3053337
Q7314,Q36834
Q7314,Q158852
Q7314,Q486748
Q7314,Q639669
Q254,Q36834
Q254,Q486748
Q254,Q639669
Q254,Q765778
Q254,Q1259917
Q254,Q16145150
Q47484,Q36180
Q47484,Q214917
Q47484,Q333634
Q47484,Q482980
Q47484,Q1930187
Q47484,Q3282637
Q47484,Q3579035
Q47484,Q6625963
Q47484,Q11774202
Q47484,Q12144794
Q47484,Q18814623
Q47484,Q18939491
Q705453,Q153562
Q705453,Q153562
