instance,topic
Q334065,Q82955
Q334065,Q170790
Q334065,Q28004591
Q23731823,Q7278
Q23731823,Q7278
Q3154921,Q599151
Q1115586,Q2872764
Q1115586,Q55499415
Q1115586,Q2872764
Q1115586,Q55499415
Q1115586,Q2872764
Q1115586,Q55499415
Q1115586,Q2872764
Q1115586,Q55499415
Q432690,Q1622272
Q432690,Q3410028
Q432690,Q4964182
Q1127220,Q18558685
Q1127220,Q18558685
Q33187216,Q82594
Q33187216,Q4964182
Q333668,Q28389
Q333668,Q578109
Q333668,Q644687
Q333668,Q715301
Q333668,Q1028181
Q333668,Q2000124
Q333668,Q2526255
Q3571662,Q82594
Q3571662,Q1326886
Q3571662,Q1709010
Q3571662,Q15976092
Q35720,Q207628
Q35720,Q207628
Q13894,Q36180
Q13894,Q36834
Q13894,Q158852
Q13894,Q639669
Q13894,Q8178443
Q462,Q196600
Q462,Q196600
Q620588,Q196600
Q620588,Q196600
Q22686,Q82955
Q22686,Q131524
Q22686,Q911554
