instance,topic
Q155223,Q15986354
Q155223,Q15991290
Q155223,Q18536323
Q155223,Q15986354
Q155223,Q15991290
Q155223,Q18536323
Q309783,Q3665646
Q976396,Q13393265
Q976396,Q13393265
Q4685441,Q36180
Q4685441,Q13219447
Q4685441,Q15077007
Q1151959,Q35127
Q1151959,Q35127
Q169661,Q13393265
Q169661,Q13393265
Q15074074,Q1969448
Q15074074,Q4866600
Q15074074,Q1969448
Q15074074,Q4866600
Q22005666,Q3665646
Q14327036,Q3665646
Q2481543,Q3665646
Q717573,Q3665646
Q1277708,Q33999
Q1277708,Q3665646
Q493115,Q3665646
Q309783,Q3665646
Q3856209,Q3665646
Q311195,Q3665646
Q311195,Q5137571
Q46040,Q3665646
Q447286,Q3665646
Q60478,Q3665646
Q1354036,Q3665646
Q976396,Q13393265
Q976396,Q13393265
