instance,topic
Q2661005,Q36180
Q2661005,Q49757
Q2661005,Q333634
Q2661005,Q753110
Q2661005,Q1930187
Q2661005,Q2526255
Q455854,Q40348
Q28085,Q189290
Q1453052,Q7278
Q1453052,Q848197
Q1453052,Q7278
Q1453052,Q848197
Q37610,Q15627169
Q34060,Q189290
Q34060,Q193391
Q43723,Q47064
Q43723,Q193391
Q43723,Q372436
Q43723,Q1238570
Q43723,Q15958642
Q501,Q36180
Q501,Q49757
Q501,Q333634
Q501,Q482980
Q501,Q4164507
Q501,Q4263842
Q501,Q11774202
Q493,Q36180
Q493,Q49757
Q493,Q11900058
Q493,Q20722777
Q133855,Q36180
Q133855,Q49757
Q133855,Q214917
Q133855,Q4164507
Q133855,Q4263842
Q133855,Q15296811
Q133855,Q16023925
Q133855,Q18939491
