instance,topic
Q1357762,Q2309784
Q2070663,Q2309784
Q972280,Q2309784
Q3813029,Q2309784
Q1978670,Q81096
Q1978670,Q2309784
Q1978670,Q10349745
Q1978670,Q10732476
Q1495273,Q2309784
Q3266383,Q2309784
Q2896516,Q2309784
Q539105,Q2309784
Q2934929,Q2309784
Q69097,Q2309784
Q33881,Q866427
Q33881,Q18608583
