instance,topic
Q3557818,Q11424
Q3392700,Q20667187
Q274915,Q36180
Q274915,Q49757
Q274915,Q214917
Q81472169,Q25379
Q61860710,Q41253
Q7750,Q82955
Q122818,Q36180
Q122818,Q47064
Q122818,Q384593
Q122818,Q842782
Q122818,Q1058617
Q517,Q39018
Q517,Q82955
Q517,Q189290
Q517,Q372436
Q517,Q10732476
Q3121353,Q33999
Q3121353,Q2449921
Q61718495,Q2259451
Q61718495,Q10800557
