entity,type,id
NBA,Organization,Q155223
Blake Griffin,Person,Q309783
Clippers,Organization,Q976396
Détroit,Location,Q12439
Los Angeles,Location,Q65
Adrian Wojnarowski‏,Person,Q4685441
ESPN,Company,Q217776
Yahoo Sports,Product,Q1151959
Pistons,Organization,Q169661
All-Star,Organization,Q15074074
Michigan,Location,Q1166
Brice Johnson,Person,Q22005666
Willie Reed,Person,Q14327036
Tobias Harris,Person,Q2481543
Avery Bradley,Person,Q717573
Boban Marjanovic,Person,Q1277708
Andre Drummond,Person,Q493115
Oklahoma,Location,Q1649
Griffin,Person,Q309783
Michael Lee,Person,Q3856209
Jerry West,Person,Q311195
Chris Paul,Person,Q46040
Jamal Crawford,Person,Q447286
DeAndre Jordan,Person,Q60478
Lou Williams,Person,Q1354036
Los Angeles Clippers,Organization,Q976396
Martin Luther King,Person,Q8027
Barack Obama,Person,Q76
Mohamed Ali,Person,Q36107
JFK,Person,Q9696
Lincoln,Person,Q91
Gandhi,Person,Q1001
