entity,type,id
Val-d'Oise,Location,Q12784
Pécresse,Person,Q455023
Wauquiez,Person,Q984375
Valérie Pécresse,Person,Q455023
Laurent Wauquiez,Person,Q984375
Antoine Savignat,Person,Q47691216
Républicains,Organization,Q20012759
Damien Abad,Person,Q966529
Saillancourt,Location,-
LREM,Organization,Q23731823
UDI,Organization,Q82892
Denis Fumery,Person,-
LR,Organization,Q20012759
parc régional du Vexin,Location,
Libres!,Organization,-
Île-de-France,Location,Q13917
La République en marche,Organization,Q23731823
Isabelle Muller-Quoy,Person,Q30337196
Belfort,Person,Q171545
Édouard Philippe,Person,Q3579995
Christophe Castaner,Person,Q1726930
Antoine Savignat,Person,Q47691216
