entity,type,id
Parti socialiste,Organization,Q170972
PS,Organization,Q170972
Assemblée nationale,Location,Q193582
Olivier Faure,Person,Q3351018
Stéphane Le Foll,Person,Q960150
Luc Carvounas,Person,Q3264768
Emmanuel Maurel,Person,Q3052795
maison de la Chimie,Location,Q3279689
VIIe arrondissement,Location,Q3360
Martine Aubry,Person,Q228977
Philippe Doucet,Person,Q3379749
Macron,Person,Q3052772
Sarthe,Location,Q12740
Benoît Hamon,Person,Q818118
Régis Juanico,Person,Q3455745
LREM,Organization,Q23731823
Olivier Dussopt,Person,Q2020823
Julien Dray,Person,Q3189473
Delphine Batho,Person,Q291385
Mitterrand,Person,Q2038
