entity,type,id
L.A. Clippers,Organization,Q976396
Blake Griffin,Person,Q309783
L.A.,Location,Q65
Detroit,Location,Q12439
Tobias Harris,Person,Q2481543
Avery Bradley,Person,Q717573
Adrian Wojnarowski,Person,Q4685441
ESPN,Company,Q217776
Brice Johnson,Person,Q22005666
Willie Reed,Person,Q14327036
All Star,Organization,Q15074074
Boban Marjanovic,Person,Q1277708
Woj,Person,Q4685441
DeAndre Jordan,Person,Q60478
Lou Williams,Person,Q1354036
Steve Ballmer,Person,Q181162
Clippers,Organization,Q976396
Griffin,Person,Q309783
Andre Drummond,Person,Q493115
Reggie Jackson,Person,Q959112
Stan van Gundy,Person,Q608639
Chris Paul,Person,Q46040
Jerry West,Person,Q311195
Michael Winger,Person,-
Doc Rivers,Person,Q352093
