entity,type,id
Marivaux,Person,Q49478
Théâtre de la Porte-Saint-Martin,Location,Q609842
Paris,Location,Q90
Vincent Dedienne,Person,Q18413745
Catherine Hiegel,Person,Q1050982
Molière de l’humour,,Q55598641
Le Jeu de l’amour et du hasard,,Q1170425
Laure Calamy,Person,Q3218747
Nicolas Maury,Person,Q3340587
Dix pour cent,,Q21008333
Clotilde Hesme,Person,Q275664
Silvia,FictionalCharacter,Q60728119
Dorante,FictionalCharacter,-
Les Revenants,,Q3853767
Lisette,FictionalCharacter,Q60786917
Arlequin,FictionalCharacter,Q60788120
Cyrille Thouvenin,Person,Q551849
Alain Pralon,Person,Q2389393
sociétaire ­honoraire de la Comédie-Française,,Q3487553
Louis XV,Person,Q7738
