entity,type,id
Ariane 5,Product,Q18532
Arianespace,Company,Q309867
Kourou,Location,Q273312
Guyane,Location,Q3769
la Tribune,Company,Q1799197
Figaro,Company,Q216047
Europe,Location,Q46
SES-14,Product,Q21400674
Al Yah 3,Product,Q18475071
SES,Product,Q333025
Yahsat,Company,Q625391
ArianeGroup,Company,Q19951610
Airbus Safran Launchers,Company,Q19951610
Atlantique,Location,Q97
Centre spatial guyanais,Location,Q308987
Cnes,Company,Q48756
Toni Tolker-Nielsen,Person,-
Agence spatiale européenne,Organization,Q42262
ESA,Organization,Q42262
