entity,type,id
Russie,Location,Q159
Jeux paralympiques de Pyeongchang,Organization,Q9680
Comité international paralympique,Organization,Q175386
Comité international paralympique russe,Organization,Q4344898
Jeux de Rio,Organization,Q8613
Agence mondiale antidopage,Organization,Q749394
Agence antidopage russe,Organization,-
professeur McLaren,Person,-
commission McLaren,Organization,-
Jeux paralympiques à Rio,Organization,Q1142161
Richard McLaren,Person,Q22280019
JO 2014 de Sotchi,Organization,Q9678
