entity,type,id
Jeff Koons,Person,Q297525
les fleurs du mal,,Q216578
rue de Valois,Location,Q3451114
Françoise Nyssen,Person,Q29962565
Bouquet of Tulips,,Q47686171
ambassade des Etats-Unis,Location,Q894836
Anne Hidalgo,Person,Q2851133
Jane Hartley,Person,Q18057116
Libération,Location,Q13717
Bruno Julliard,Person,Q993393
le ministère de la Culture,Organization,Q384602
Mairie de Paris,,Q3278478
Paris,Location,Q90
Georges-Philippe Vallois,Person,-
le Figarole Quotidien de l’art,Company,
Arnet News,Company,
Jérôme,Person,Q3191102
Emmanuelle de Noirmont,Person,-
Noirmontartproduction,Company,
avenue du Président-Wilson,Location,Q2874189
XVIe arrondissement de Paris,Location,Q191066
l’avenue de New York,Location,Q2873938
la Flamme de la liberté,,Q3036228
Etats-Unis,Location,Q30
la Statue de la Liberté,,Q359939
Bataclan,,Q810700
le Palais de Tokyo,,Q1535247
le Musée d’art moderne,,Q857276
Jean-Jacques Aillagon,Person,Q439594
le Monde,Company,Q12461
Christophe Girard,Person,Q2966264
Europe 1,Company,Q314407
Allemagne,Location,Q183
