entity,type,id
Live Nation France,Company,
U Arena de Nanterre,Location,Q2860806
Rolling Stones,,Q11036
Kendrick Lamar,Person,Q130798
N.E.R.D,,Q941293
IAM,,Q1653033
Rock en Seine,,Q2079699
Solidays,,Q3489464
Lollapalooza,,Q889643
Live Nation,Company,Q16960819
Depeche Mode,,Q482964
The Killers,,Q220730
Gorillaz,,Q189991
Paris,Location,Q90
Main Square Festival,,Q2179177
Arras,Location,Q131329
Download Festival,,Q18544
François Missonnier,Person,Q33242212
Matthieu Pigasse,Person,Q3299928
AEG,Company,Q569417
Arnaud Meersseman,Person,-
Nous Production,Company,
Accor Hôtel Arena,,Q537720
Nicolas Dupeux,Person,-
ex-POPB de Bercy,,Q537720
Roger Waters,Person,Q180861
Booba,Person,Q642477
