entity,type,id
Zemlinsky,Person,Q78524
Alexander von Zemlinsky,Person,Q78524
Arnold Schoenberg,Person,Q154770
Alban Berg,Person,Q78475
Anton Webern,Person,Q190933
seconde école de Vienne,,Q248243
Vienne,Location,Q1741
Gustav Mahler,Person,Q7304
Etienne Barilier,Person,Q123405
Exil et musique,,
éd. Fayard Mirare,Company,
Alma Schindler,Person,-
Mathilde,Person,Q20644286
la Première Guerre mondiale,,Q3137138
Erwartung,,Q1362653
Werther,,Q926468
Samy Rachid,Person,-
Quatuor Arod,Organization,Q59264427
la Hauptstimme,,Q17101345
Erich-Wolfgang Korngold,Person,Q313371
le Nain,,Q1198242
Wilde,,
Mathias Vidal,Person,-
Lille,Location,Q648
Rennes,Location,Q648
Bertrand de Billy,Person,Q697105
Capriccio,Company,Q5036232
l’Orchestre de la radio de Vienne,Organization,Q695491
Alma Mahler,Person,Q156898
le Cercle de craie,,
Hitler,Person,Q352
Suisse,Location,Q39
Allemagne,Location,Q7318
outre-Rhin,Location,Q183
l’Opéra de Lyon,Organization,Q4205
Richard Brunel,Person,Q3430586
Mahagonny,,
Brecht,Person,Q38757
Weill,Person,Q55004
l’école de Vienne,,Q248243
Strauss,Person,Q13894
opéra de Prague,Organization,Q1886083
Klemperer,Person,Q155136
Berlin,Organization,Q312576
opéra de Vienne,Organization,Q209937
Schoenberg,Person,-
Stravinski,Person,Q7314
Mozart,Person,Q254
les Noces de Figaro,,Q201873
Etats-Unis,Location,Q30
Californie,Location,Q99
le Prince Candaule,,
Gide,Person,Q47484
Ulysse,FictionalCharacter,Q47231
Al Roberts,,Q78524
opéra de Hambourg,Organization,Q705453
Samy Rachid,Person,-
France,Location,Q142
