entity,type,id
Darmanin,Person,Q3123610
Les Républicains,Organization,Q20012759
Laurent Wauquiez,Person,Q984375
LR,Organization,Q20012759
Gérald Darmanin,Person,Q3123610
Le Monde,Company,Q12461
La République en marche,Organization,Q23731823
LRM,Organization,Q23731823
Emmanuel Macron,Person,Q3052772
Wauquiez,Person,Q984375
Val-d’Oise,Location,Q12784
Ile-de-France,Location,Q13917
Valérie Précresse,Person,Q455023
Mme Pécresse,Person,Q455023
Twitter,Product,Q918
Virginie Calmels,Person,Q3560720
Laurence Sailliet,Person,Q45365123
Lydia Guirous,Person,Q19630668
Guillaume Larrivé,Person,Q3120008
Yonne,Location,Q12816
Eric Woerth,Person,Q288486
Oise,Location,Q12675
Guillaume Peltier,Person,Q3120121
Loir-et-Cher,Location,Q12564
François Fillon,Person,Q101410
rue de Vaugirard,Location,Q2707132
Jérôme Cahuzac,Person,Q57751
Hortefeux,Person,Q502972
Fouquier-Tinville,Person,Q453302
François Hollande,Person,Q157
Mediapart,Company,Q619342
François Bayrou,Person,Q12963
Richard Ferrand,Person,Q3430759
Daniel Fasquelle,Person,Q3014035
Pas-de-Calais,Location,Q12689
Brice Hortefeux,Person,Q502972
Nicolas Sarkozy,Person,Q329
Bercy,Location,Q1416512
Le Figaro,Company,Q216047
président de la République,Person,Q191954
Sarkozy,Person,Q329
