entity,type,id
Rafael Nadal,Person,Q10132
Open d’Australie,Organization,Q60874
Melbourne Park,Location,Q2228393
Grand Chelem,Organization,Q102113
Australie,Location,Q408
Andy Murray,Person,Q10125
Wimbledon,Organisation,Q41520
Brisbane,Organisation,Q264806
Stan Wawrinka,Person,Q193661
Kei Nishikori,Person,Q311222
Milos Raonic,Person,Q312343
Novak Djokovic,Person,Q5812
Rod Laver Arena,Location,Q222878
Jérôme Bianchi,Person,Q3190815
Murray,Person,Q10125
Djokovic,Person,Q5812
Taureau de Manacor,Person,Q10132
Marin Cilic,Person,Q245241
Roger Federer,Person,Q1426
Tennys Sandgren,Person,Q7700510
Tennessee,Location,Q1509
Kyle Edmund,Person,Q6451141
Hyeon Chung,Person,Q13616024
Rafa,Person,Q10132
Novak,Person,Q5812
Stan,Person,Q193661
Murray,Person,Q10125
Nishikori,Person,Q311222
Raonic,Person,Q312343
Roger,Person,Q1426
