entity,type,id
Libération,Company,Q1061104
Radio France,Company,Q2120364
France Inter,Company,Q19905
Cédric Villani,Person,Q334065
LREM,Organization,Q23731823
Isabelle Falque-Pierrotin,Person,Q3154921
Cnil,Organization,Q1115586
Commission nationale de l’informatique et des libertés,Organization,Q1115586
Pascal Demurger,Person,-
Maif,Company,Q3331029
Catherine Malabou,Person,Q432690
France,Location,Q142
Europe,Location,Q56
Big Brother,FictionalCharacter,Q751417
CSA,Organization,Q1127220
Julie Gaillot,Preson,-
Jean-Gabriel Ganascia,Person,Q33187216
Total,Company,Q154037
Michel Lutz,Person,-
Malakoff Médéric,Company,Q3117486
David Giblas,Person,-
Enki Bilal,Person,Q333668
Bug,Product,-
Casterman,Company,Q568077
Yann Le Cun,Person,Q3571662
Facebook,Company,Q380
Erwan Cario,Person,-
Ainsi parlait Zarathoustra,Product,Q35720
Richard Strauss,Person,Q13894
2001, l’Odyssée de l’espace,Product,Q103474
C-3PO,FictionalCharacter,Q51787
la Guerre des étoiles,Product,Q462
Skynet,FictionalCharacter,Q478507
Terminator,Product,Q620588
Trump,Person,Q22686
