entity,type,id
Musée d’Orsay,Location,Q23402
Camille Claudel,Person,Q120582
maison de ventes Artcurial,Location,
Eve Turbat,Person,-
Auguste Rodin,Person,Q30755
maison de ventes des Champs-Elysées,Location,
Musée Rodin,Location,Q650519
Musée Camille-Claudel,Location,Q29969684
Nogent-sur-Seine,Location,Q476895
Aube,Location,Q3194
Piscine-Musée d’art et d’industrie,Location,Q1955748
Roubaix,Location,Q34001
Nord,Location,Q12661
Musée Sainte-Croix,Location,Q772297
Poitiers,Location,Q6616
Maison Camille et Paul Claudel,Location,
Villeneuve-sur-Fère,Location,Q995372
Aisne,Location,Q3093
Claudel,Person,Q214074
