entity,type,id
LCD Soundsystem,,Q45752
Jean-Jacques Toux,Person,-
Vieilles Charrues,,Q3070358
Carhaix,Location,Q208226
Finistère,Location,Q3389
France,Location,Q142
Père Noël,FictionalCharacter,Q1580339
Jean-Paul Roland,Person,-
Eurockéennes de Belfort,,Q2066121
Angelo Gopee,Person,-
Live Nation,Organization,Q16960819
Early birds,,
Royaume-Uni,Location,Q145
Allemagne,Location,Q183
Pays-Bas,Location,Q55
Suède,Location,Q34
France,Location,Q142
Inde,Location,Q668
Asie,Location,Q48
Australie,Location,Q408
Amérique,Location,Q30
