entity,type,id
Haïm Gouri,Person,Q2661005
Israël,Location,Q801
Shoah,,Q2763
Reuven Rivlin,Person,Q455854
Lamerhav,Company,Q2897577
Adolf Eichmann,Person,Q28085
La Cage de verre,,
Tel-Aviv,Location,Q33935
Israël Gouri,Person,-
Mapaï,Organization,Q1453052
David Ben Gourion,Person,Q37610
Palestine,Location,Q219060
la première guerre israélo-arabe de 1948,,
Yitzhak Rabin,Person,Q34060
Benjamin Netanyahu,Person,Q43723
Sorbonne,Location,Q41497113
Baudelaire,Person,Q501
Rimbaud,Person,Q493
Apollinaire,Person,Q133855
Pagnol,Person,Person,Q236630
Claudel,Person,Person,Q295830
chevalier de l'ordre des Arts et des lettres,,Q13452528
