entity,type,id
Mureaux,Location,Q317433
Seine,,Q1471
Ariane,Product,Q131535
ESA,Organization,Q42262
Havre,Location,Q42810
Kourou,Location,Q273312
Guyane,Location,Q3769
Yvelines,Location,Q12820
Ariane 6,Product,Q15720682
SpaceX,Company,Q193701
Ariane 5,Product,Q18532
Guillaume Collange,Person,-
Yoann Montier,Person,-
TNT,,Q193227
N60,Location,-
Vulcain 2.1,Product,Q44532
Vinci,Product,-
Vernon,Location,Q236736
Eure,Location,Q3372
Von Braun,Person,Q57384
Véronique,Product,Q1601058
V2,Product,Q174640
Philippe Girard,Person,-
ArianeGroup,Company,Q19951610
Alain Charmeau,Person,-
Inde,Location,Q668
Chine,Location,Q148
Ariane 4,Product,Q18387
Prometheus,Product,-
Emmanuel Edeline,Person,-
