entity,type,id
Euro 2018 de handball,Organization,Q16577781
Espagne,Location,Q29
Nikola Karabatic,Person,Q157809
Danemark,Location,Q35
Adrien Dipanda,Person,Q376897
Euro 2018,Organization,Q16577781
Suède,Location,Q34
équipe de France de handball,Organization,Q457107
W9,Company,Q117649
BeIN Sports 2,Company,Q4115916
les Experts,Organization,Q457107
Michaël Guigou,Person,Q445935
Luc Abalo,Person,Q445961
Didier Dinart,Person,Q445910
équipe de France,Organization,Q457107
Valentin Porte,Person,Q3206708
Bleus,Organization,Q457107
France,Location,Q142
Jeux olympiques de Rio,Organization,Q8613
Golden League,Organization,Q16639389
Mikkel Hansen,Person,-

