entity,type,id
La France insoumise,Organization,Q27978402
eFI,Organization,-
Thomas Guénolé,Person,Q18398335
Manon Le Bretton,Person,-
Aude,Location,Q3207
Benoît Schneckenburger,Person,Q29231768
VIe République,,-
Jean-Luc Mélenchon,Person,Q5829
PS,Organization,Q170972
l’affaire Dreyfus,,Q173457
Antonio Gramsci,Person,Q83003
David Guiraud,,Q3018003
